[Sun Jul 24 14:32:13.142671 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] strip per-dir prefix: /var/www/infra2/ -> var/www/infra2/, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.142754 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] applying pattern '^(.+)$' to uri 'var/www/infra2/', referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.142789 2016] [rewrite:trace4] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] RewriteCond: input='/var/www/infra2/' pattern='!-d' => not-matched, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.142801 2016] [rewrite:trace1] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] pass through /var/www/infra2/, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.142932 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] [perdir /] strip per-dir prefix: /var/www/infra2/index.html -> var/www/infra2/index.html, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.142948 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] [perdir /] applying pattern '^(.+)$' to uri 'var/www/infra2/index.html', referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.142965 2016] [rewrite:trace4] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] [perdir /] RewriteCond: input='/var/www/infra2/index.html' pattern='!-d' => matched, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.142977 2016] [rewrite:trace4] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] [perdir /] RewriteCond: input='/var/www/infra2/index.html' pattern='!-f' => matched, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.142988 2016] [rewrite:trace2] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] [perdir /] rewrite 'var/www/infra2/index.html' -> 'index.php?var/www/infra2/index.html', referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.142999 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] split uri=index.php?var/www/infra2/index.html -> uri=index.php, args=var/www/infra2/index.html, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143009 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] [perdir /] add per-dir prefix: index.php -> /index.php, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143021 2016] [rewrite:trace1] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] [perdir /] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143093 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b00a0/subreq] [perdir /] strip per-dir prefix: /var/www/infra2/index.cgi -> var/www/infra2/index.cgi, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:13.143108 2016] [rewrite:trace3] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b00a0/subreq] [perdir /] applying pattern '^(.+)$' to uri 'var/www/infra2/index.cgi', referer: http://e-magyar.hu/index.php?/intro
